multiply 75057.55 69494.79| Result = 5216108675.164499
multiply -27536.14 -58388.81| Result = 45597160992.434311
multiply 29127.02 68464.88| Result = 84376822798.305283
add_sq 15137.18 96974.36| Result = 59569054448.388817
minus 94032.17 -16169.4| Result = 65480832296.163734
sq_add -32271.32 -27602.49| Result = 50180566541.503532
divide 74564.39 -83290.73| Result = 73372179595.107666
divide -40676.85 -4151.61| Result = 21782509528.621967
divide -94466.92 10946.0| Result = 45597160983.804039
add_sq 6208.68 -65735.83| Result = 88736569851.436584
sq_add -58073.24 1493.86| Result = 62770280689.573219
divide -69819.04 5532.29| Result = 65480832283.543457
add_sq -94822.41 -37254.69| Result = 60559767906.707733
plus 17876.04 -69720.15| Result = 73372127750.997665
minus -87675.35 -85981.15| Result = 45597159289.604042
divide 14645.68 45543.44| Result = 88736569851.758163
minus -70740.51 -24325.93| Result = 62770234274.993217
sq_add 87449.08 -66844.39| Result = 65905385533.539558
sq_add 10831.19 52548.52| Result = 25799497168.306068
sq_add 8934.59 29417.95| Result = 62030685231.159332
plus -87179.12 1232.57| Result = 73372041804.447662
multiply 34299.53 64284.44| Result = 47802085367.917244
multiply -17721.22 6633.39| Result = 88619018088.222366
plus 29950.65 35875.12| Result = 62770300100.763214
add_sq -27841.09 49271.45| Result = 69108187611.030151
minus 49739.12 66300.46| Result = 62030668669.819336
divide -95868.79 -37174.03| Result = 73372041807.026581
add_sq 92870.07 -44017.75| Result = 36361909385.173470
sq_add 92885.91 70652.59| Result = 73365066378.042694
minus -2845.14 13406.17| Result = 88619001836.912369
multiply 54346.37 74600.66| Result = 66824575171.367416
minus -26265.48 -18352.73| Result = 69108179698.280151
divide -75418.79 17949.17| Result = 62030668665.617538
divide -87069.3 -51000.89| Result = 73372041808.733795
add_sq -6872.32 28793.34| Result = 37238194595.711472
plus -50259.52 21585.83| Result = 88618973163.222366
multiply -99122.38 54380.09| Result = 67974782432.628494
divide 79031.82 31219.85| Result = 66824575173.898880
sq_add 58.83 -26099.35| Result = 69786288380.150558
divide 70348.23 25120.61| Result = 62030668668.417961
divide 99572.42 -1778.22| Result = 73372041752.738235
add_sq 45389.77 -95141.45| Result = 99731099891.977768
add_sq 82045.98 28371.09| Result = 44774656177.659973
plus 11900.04 6327.37| Result = 67974800660.038498
multiply 4205.93 41737.35| Result = 62206213040.903458
minus -34476.93 -27704.35| Result = 69786281607.570557
sq_add -84842.55 95627.04| Result = 47918390592.477341
divide 4797.08 60263.19| Result = 73372041752.817841
sq_add 9377.92 -6244.98| Result = 66834390486.942482
sq_add -32046.09 88713.81| Result = 102942330381.976166
add_sq 94351.68 55172.37| Result = 56720886107.899277
multiply -77052.06 49461.77| Result = 58395081771.157257
sq_add 99874.58 -71895.02| Result = 70569137385.364151
add_sq 2816.14 36105.71| Result = 49229943531.581039
plus 71400.27 79352.44| Result = 73372192505.527847
add_sq 46450.97 -75501.74| Result = 74692595843.910980
plus 43379.41 -27053.95| Result = 102942346707.436172
multiply -51251.46 -85890.32| Result = 61122890407.766479
plus -1280.63 22494.2| Result = 58395102984.727257
minus 73377.66 67518.09| Result = 70569143244.934158
divide -52125.64 -53836.91| Result = 73372192506.496063
plus 573.45 88053.88| Result = 74692684471.240982
sq_add -20107.25 -45281.51| Result = 107218036641.773773
minus -98497.94 23600.06| Result = 61122768309.766479
add_sq 22810.76 -48570.21| Result = 76251588577.717758
multiply 28888.21 25104.72| Result = 49955173954.932236
sq_add -25306.78 -7274.23| Result = 71630665457.554260
minus -21913.8 -29131.64| Result = 107218043859.613770
sq_add 83119.6 26977.09| Result = 73244049458.722580
plus 77461.66 41273.94| Result = 74692803206.840988
add_sq -56016.06 34720.34| Result = 80594889565.356964
add_sq -15925.39 22708.5| Result = 50724467973.834335
minus 24158.42 55847.74| Result = 71630633768.234253
sq_add 85169.07 -82542.92| Result = 58401999648.549759
minus 91537.51 -26651.23| Result = 73244167647.462585
sq_add 3728.89 96657.2| Result = 78052167725.526596
multiply -13535.79 96132.31| Result = 73391576446.466095
plus -67965.03 11311.51| Result = 80594832911.836960
add_sq -48592.44 54964.91| Result = 56106834530.296036
sq_add -58751.08 74520.0| Result = 71879292606.200653
multiply -58631.93 4368.34| Result = 58145875443.453560
sq_add -23314.76 802.76| Result = 73750957791.462585
multiply 56852.75 6623.49| Result = 78428731346.624100
minus 4372.61 -35774.06| Result = 73391616593.136093
sq_add 53210.57 23964.99| Result = 86550899973.150558
sq_add -15988.6 82652.47| Result = 76323364169.577545
multiply -10945.92 -39642.06| Result = 58579794260.848763
minus -42854.26 -75534.1| Result = 73750990471.302582
sq_add 70492.18 -34349.98| Result = 79734989967.464096
add_sq 74525.07 -53150.4| Result = 81770567671.800995
sq_add -57154.76 -1479.59| Result = 59544821530.218536
multiply -85425.35 13669.45| Result = 85383182422.593063
divide 42453.74 -36632.1| Result = 76323364168.418625
minus 11117.03 -98772.01| Result = 58579904149.888763
plus -91711.58 -6.93| Result = 73750898752.792587
plus -70549.63 96210.25| Result = 79735015628.084091
plus -64089.27 19583.98| Result = 81770523166.511002
minus -5390.79 41221.8| Result = 59544774917.628540
add_sq 43110.32 63029.92| Result = 91214452928.301865
multiply -1010.48 -43877.78| Result = 73795236371.926987
minus 29822.41 79507.26| Result = 81770473481.660995
sq_add 73742.02 84646.7| Result = 132305030482.852173
sq_add 3490.88 -7746.25| Result = 76341472342.255524
plus -30865.59 -14009.85| Result = 59544730042.188538
sq_add 49922.67 -11607.44| Result = 92682509778.254761
add_sq -46370.74 -23589.8| Result = 61286628342.076363
sq_add -56399.12 70628.12| Result = 73997700812.926987
plus 98948.91 22370.5| Result = 81770594801.070999
multiply -71848.31 96158.26| Result = 72826207154.543488
divide -83418.05 -18014.58| Result = 59544730046.819122
divide -7893.42 -86952.5| Result = 76341472342.346298
plus 94244.61 1180.4| Result = 92682605203.264755
divide -51337.51 45498.34| Result = 73997700811.798645
add_sq -35230.74 33426.65| Result = 84129140772.241104
add_sq 85408.64 -47994.88| Result = 141903174775.716187
multiply -81133.12 64384.65| Result = 67602479619.935486
multiply -66342.15 18860.07| Result = 75090254749.395798
plus 7919.66 -37907.84| Result = 59544700058.639122
sq_add 19976.28 92035.26| Result = 105229190296.436356
plus 87169.14 -47580.95| Result = 61286667930.266365
add_sq 80992.8 40385.9| Result = 92319995342.891098
plus -3772.53 -74834.86| Result = 141903096168.326172
minus -4791.29 45676.24| Result = 73997650344.268646
minus 33085.32 1612.75| Result = 75090286221.965805
minus 80259.19 -16854.56| Result = 59544797172.389122
plus 87194.32 53960.19| Result = 105229331450.946350
minus -67090.68 -95566.23| Result = 61286696405.816368
divide 66719.93 -5466.61| Result = 92319995330.686111
minus 60106.64 -81290.31| Result = 141903237565.276184
multiply 51549.67 73999.19| Result = 77812284169.035950
divide 16973.3 -97426.67| Result = 75090286221.791595
multiply 52849.86 1302.1| Result = 59613612975.095123
sq_add 56357.13 48061.74| Result = 116132631863.023254
add_sq -39807.63 20840.12| Result = 63305654413.647667
sq_add -58996.62 58465.17| Result = 67602762059.037987
minus -85316.05 -66664.53| Result = 141903218913.756195
divide -50706.7 14397.72| Result = 77812284165.514099
add_sq -31042.92 -16828.4| Result = 76337144150.477997
multiply 44962.71 -66302.77| Result = 56632460755.388420
multiply 78689.89 33726.65| Result = 118786578241.591751
multiply 53636.76 -71763.86| Result = 59456473478.154068
minus -50291.57 -87957.06| Result = 67602799724.527985
plus -66321.23 20114.9| Result = 141903172707.426208
sq_add 14428.11 -69954.06| Result = 80895415288.916595
minus 51706.56 37455.58| Result = 76337158401.457993
sq_add -44238.25 -11872.35| Result = 59780860187.748421
minus 50919.86 17794.93| Result = 118786611366.521744
add_sq 89947.49 76208.02| Result = 73354686747.774567
sq_add 29560.35 -97031.66| Result = 72155177397.644089
sq_add -75839.16 83028.64| Result = 141954861330.096619
divide -66492.25 83395.88| Result = 80895415288.119293
minus -97595.35 -68055.8| Result = 76337128861.907990
divide 64357.82 -73292.37| Result = 59780860186.870323
plus -26719.15 92401.36| Result = 118786677048.731750
sq_add 24094.02 -2435.91| Result = 92789069059.458206
add_sq 49871.04 -93368.09| Result = 83359898258.573792
add_sq 68084.97 -55980.6| Result = 149724252046.357513
multiply -19325.69 -135.16| Result = 80898027348.379700
minus 61138.59 87171.11| Result = 76337102829.387985
divide 52754.7 -26882.09| Result = 59780860184.907875
minus 67277.06 -29956.18| Result = 118786774281.971756
divide -90819.21 51397.53| Result = 92789069057.691208
sq_add -43880.31 70344.5| Result = 74055040100.130661
minus -91828.63 5386.73| Result = 83359801043.213791
minus -89538.82 30861.65| Result = 80897906947.909698
minus -31857.48 -81585.93| Result = 76337152557.837982
plus 93279.49 68512.16| Result = 59781021976.557877
plus -57768.14 69515.69| Result = 118786786029.521759
sq_add -54853.39 -71870.58| Result = 165783216618.918427
minus 15798.86 -99482.37| Result = 92789184338.921204
minus 32366.21 -4996.9| Result = 83359838406.323792
add_sq -37672.81 26419.13| Result = 83015117991.162704
divide 49334.04 99745.21| Result = 76337152558.332581
add_sq -34428.83 -86519.34| Result = 68451962505.762375
sq_add 39032.26 61720.98| Result = 128938001400.019363
sq_add 24063.1 -54680.61| Result = 166720648537.518524
sq_add 95127.7 -16242.51| Result = 80277913301.466766
plus -90107.59 -10736.87| Result = 83359737561.863785
plus 6096.69 -2418.23| Result = 83015121669.622711
minus -8368.19 -91399.72| Result = 76337235589.862579
sq_add -13452.19 27967.01| Result = 68662642505.394775
minus 31326.46 61384.56| Result = 128937971341.919357
multiply -11894.26 65599.36| Result = 165940392693.844910
add_sq -38329.52 -77639.54| Result = 87774963576.308762
divide 49085.86 57313.93| Result = 92789184339.777649
sq_add -31849.17 29660.96| Result = 83364525824.867889
sq_add 23500.83 -56024.78| Result = 69720449828.997269
add_sq -40794.99 41428.96| Result = 79717825525.644272
multiply -69425.15 -9461.56| Result = 129594841564.153351
sq_add 28581.55 -2606.28| Result = 166615107345.417816
multiply 74012.97 36907.26| Result = 90506579503.470963
sq_add -40280.74 39550.58| Result = 83365058958.493484
multiply 8483.59 -5459.0| Result = 129548529646.343353
sq_add 64297.82 82779.34| Result = 188246798339.083405
minus -16285.87 -3475.24| Result = 90506566692.840958
minus 7921.78 56051.08| Result = 83365010829.193481
add_sq -46824.43 -78589.79| Result = 137917411983.412354
multiply -1316.49 98830.52| Result = 82885012278.347916
plus 1636.18 -75568.21| Result = 188246724407.053406
sq_add -91031.76 67908.85| Result = 91041235659.709061
plus -38462.93 23666.87| Result = 92789169543.717651
divide -46570.39 -81733.52| Result = 83365010829.763260
multiply -2977.77 -53784.95| Result = 138077571193.973846
minus 25797.69 12535.15| Result = 69720463091.537262
multiply -31289.14 -25622.14| Result = 83686707003.907516
multiply 54986.07 24870.45| Result = 92408763964.340561
sq_add 24624.41 38386.93| Result = 96759598512.313248
divide 51283.37 -74134.44| Result = 79717825524.952515
minus 37243.57 -13543.3| Result = 138077621980.843842
plus -37958.2 -95074.86| Result = 83364877796.703262
minus 82627.37 -21810.13| Result = 83686811441.407516
plus 45601.48 69522.69| Result = 96759713636.483246
add_sq -62673.04 -61104.69| Result = 195908417489.891113
multiply -65926.18 57877.21| Result = 134261998616.486038
multiply -6161.66 -23577.73| Result = 79863103480.784317
divide -580.55 44777.02| Result = 83364877796.690292
minus 95807.75 85103.84| Result = 83686822145.317520
sq_add -44726.1 -28042.58| Result = 102054994425.425644
minus -68513.51 29520.4| Result = 134261900582.576035
sq_add -30091.94 760.71| Result = 93269085017.653458
add_sq 88565.97 -97227.41| Result = 213205517787.240112
add_sq -43873.1 41835.4| Result = 87039927393.460297
plus -23679.9 -12169.26| Result = 83686786296.157516
multiply 347.56 -59837.9| Result = 102034197164.901642
multiply 2676.91 -73608.29| Result = 134064857814.992142
plus 17976.94 -5460.94| Result = 79863115996.784317
sq_add 86127.25 11650.22| Result = 102829518657.254364
plus -4062.05 -39475.52| Result = 213205474249.670105
add_sq 54626.33 15681.87| Result = 90269884369.426102
multiply -82072.96 -97924.38| Result = 91723730018.922318
divide -6442.41 13168.56| Result = 102034197164.412415
sq_add -65013.69 60821.51| Result = 134082432188.144547
multiply 15541.64 89105.98| Result = 81247969059.791519
multiply 65219.34 76450.94| Result = 107815598506.433960
add_sq -79755.36 -20304.98| Result = 219978683911.200104
add_sq 47705.74 -58946.05| Result = 75470937531.087357
minus -58986.75 72521.9| Result = 90269752860.776108
divide 64086.56 -3257.06| Result = 91723729999.246124
sq_add -95378.41 -82536.0| Result = 133687734450.060516
divide -39563.37 38263.73| Result = 219978683910.166138
minus 76921.58 -42684.71| Result = 107815718112.723953
divide -68820.25 49754.58| Result = 90269752859.392914
minus -35894.82 11497.8| Result = 134082384795.524551
divide -15366.37 13196.47| Result = 91723729998.081696
minus -6782.59 92215.61| Result = 133687635451.860519
plus -68537.61 5834.7| Result = 75470874828.177353
divide 34189.65 39814.88| Result = 134082384796.383270
divide -35060.24 29505.39| Result = 91723729996.893433
plus 86458.49 -7177.26| Result = 133687714733.090515
sq_add -25338.03 -60879.71| Result = 97703251550.100510
sq_add 62609.76 -43679.41| Result = 75829232979.299850
plus -33238.61 3787.52| Result = 107815688661.633957
plus -84588.89 70084.26| Result = 91723715492.263428
plus -70445.73 -11081.61| Result = 133687633205.750519
divide 81204.61 -15754.65| Result = 97703251544.946182
multiply -32701.76 -61282.24| Result = 83252006164.533920
minus -37400.13 46936.38| Result = 134082300459.873276
plus 18073.45 42374.79| Result = 75829293427.539856
multiply -65310.52 -8690.0| Result = 220546232328.966125
add_sq -75100.77 43398.8| Result = 99247296988.296326
add_sq 89359.75 -82430.13| Result = 148467524457.629913
sq_add 32253.36 67996.86| Result = 107753358154.994583
add_sq 36342.77 -71829.78| Result = 89732320390.655212
divide 74755.29 -34509.15| Result = 134082300457.707031
sq_add -94363.92 74321.39| Result = 76230996436.340759
multiply 6536.99 10278.76| Result = 220613424480.298523
add_sq -74448.02 -60461.39| Result = 117013776024.286453
plus 10613.25 39800.28| Result = 99247347401.826324
divide -70506.69 -81886.44| Result = 148467524458.490936
plus 2483.57 57179.64| Result = 107753417818.204590
multiply -10181.71 77153.89| Result = 133296741924.355133
multiply 8550.54 -42655.89| Result = 75866265542.660156
sq_add 60341.29 -96116.58| Result = 221893295854.882629
sq_add 20236.08 95321.16| Result = 130367251740.704056
multiply 85054.78 -50969.1| Result = 94912181814.528320
add_sq 9719.14 59267.15| Result = 111360474569.666687
sq_add -80131.03 -53421.7| Result = 166303856148.943848
minus 47697.66 -6785.3| Result = 133296796407.315140
divide -66455.5 9380.28| Result = 75866265535.575562
divide -29735.77 14030.41| Result = 221893295852.763245
multiply 94546.4 -88517.51| Result = 121998239833.240051
sq_add -46885.55 -83431.34| Result = 111894673633.800415
sq_add -17686.43 87196.52| Result = 116192127181.474792
divide -16153.09 96086.05| Result = 166303856148.775726
add_sq -4046.58 67324.49| Result = 137845758170.771637
add_sq -93649.77 30595.87| Result = 85572652217.685364
plus -49913.47 39962.77| Result = 221893285902.063232
minus 86640.55 710.68| Result = 111894759563.670410
multiply -36122.94 18546.15| Result = 89062378926.974213
minus 42963.01 18789.34| Result = 116192151355.144791
divide 96185.21 -75276.67| Result = 166303856147.497955
sq_add -91887.21 -9711.5| Result = 132320537706.904144
plus -45060.46 -21361.83| Result = 137845691748.481628
minus 65174.8 54316.47| Result = 85572663076.015366
multiply 26020.19 -7164.61| Result = 221706861388.587341
divide -93236.43 97780.82| Result = 111894759562.716888
minus -17216.26 -97461.11| Result = 116192231599.994797
minus 27350.47 26699.22| Result = 166303856798.747955
divide 36634.3 68847.33| Result = 132320537707.436249
plus -51779.79 -54861.7| Result = 221706754747.097351
divide -67515.21 -56940.4| Result = 111894759563.902603
multiply 53937.7 -39987.48| Result = 83415830376.019363
minus 91586.75 23647.49| Result = 137845759687.741638
plus -20046.37 84116.14| Result = 116192295669.764801
plus 31975.17 -86614.68| Result = 166303802159.237946
minus -81359.16 64123.54| Result = 89062233444.274216
multiply 34444.21 -54793.65| Result = 130433213720.169754
divide -1093.67 1176.3| Result = 111894759562.972855
sq_add 27720.25 39714.61| Result = 142393220030.961243
plus -91671.05 40917.28| Result = 83415779622.249359
multiply -6086.66 58485.99| Result = 115836311333.871399
multiply 92020.55 21272.97| Result = 168261352558.771454
sq_add 39436.26 35441.81| Result = 136039939087.094650
sq_add 46049.15 -10326.61| Result = 113170859427.024460
divide -48517.68 53529.76| Result = 142393220030.054871
multiply 55482.27 -23916.54| Result = 82088835692.503555
add_sq 23918.4 -98450.45| Result = 126100892297.633896
add_sq 12320.5 69138.45| Result = 226638674735.749847
minus 48468.99 91643.98| Result = 168261309383.781464
multiply -92383.81 -92189.77| Result = 144556781282.718353
minus -56015.43 -49534.42| Result = 142393213549.044861
minus 89683.47 15929.74| Result = 113170933180.754456
plus 19117.81 69461.2| Result = 82088924271.513550
add_sq 71757.03 99314.22| Result = 141113277946.263184
minus 54333.29 7259.99| Result = 226638721809.049835
divide -34306.95 40264.35| Result = 168261309382.929413
plus -75215.18 -43573.47| Result = 144556662494.068359
sq_add 38422.68 -23748.12| Result = 142608556260.238464
sq_add 57773.68 4394.35| Result = 92927097398.355118
plus -97042.07 10651.06| Result = 141113191555.253174
add_sq 43982.87 28190.7| Result = 229367930228.976746
plus -67122.02 -66108.48| Result = 113170799950.254456
add_sq -90628.51 60828.03| Result = 94002500330.014557
divide 95223.12 -18368.51| Result = 168261309377.745361
minus -76904.89 23503.39| Result = 144556562085.788361
minus 93004.33 -15539.24| Result = 142608664803.808472
sq_add -97252.5 4657.57| Result = 101500918460.060013
plus -86485.83 -90545.4| Result = 141113014524.023163
sq_add 61900.52 -34391.12| Result = 230124697317.336731
divide -20562.91 86858.08| Result = 94002500329.777817
plus 84772.25 14121.12| Result = 168261408271.115356
minus 47663.51 35580.37| Result = 144556574168.928375
minus -69192.23 50844.04| Result = 142608544767.538483
multiply 12305.0 -61616.59| Result = 100742726320.110016
